text,content_type,text_type,emotion_type
Назначьте встречу на завтра...,action,business,neutral
Курс доллара составил 90 рублей.,fact,news,neutral
Срок выполнения — 14 рабочих дней.,fact,business,neutral
спасибо за информацию!,emotion,chat,joy
"лол, это смешно!",emotion,chat,joy
Подпишитесь на канал.,action,advertising,neutral
Тревожная ситуация складывается.,emotion,news,fear
подтвердите получение письма.,action,business,neutral
в комплекте идёт зарядное устройство.,fact,review,neutral
Закажите и получите подарок!,action,advertising,joy
Привет! Как дела?,emotion,chat,joy
обожаю эту вещь!,emotion,review,joy
"Окей, понял тебя...",fact,chat,neutral
Безобразие. Куда смотрит руководство?,emotion,review,anger
курс доллара составил 90 рублей.,fact,news,neutral
никогда больше не обращусь к вам!,emotion,review,anger
Индекс вырос на 5 пунктов за неделю...,fact,news,neutral
"Мерзость, а не продукт.",emotion,review,disgust
Бюджет проекта — 2 миллиона рублей...,fact,business,neutral
Фантастика! Всё работает идеально!,emotion,review,joy
Просим подготовить отчёт к понедельнику.,action,business,neutral
"Мерзость, а не продукт.",emotion,review,disgust
"Лол, это смешно!",emotion,chat,joy
"Скинь ссылку, пожалуйста...",action,chat,neutral
Договор заключён на 3 года.,fact,business,neutral
Это возмутительно!,emotion,review,anger
эксперты прогнозируют рост на 10%.,fact,news,neutral
противно даже смотреть на это.,emotion,review,disgust
температура воздуха достигла 30 градусов.,fact,news,neutral
Договор заключён на 3 года...,fact,business,neutral
курс доллара составил 90 рублей.,fact,news,neutral
Необходимо согласовать документы...,action,business,neutral
"ужасное обслуживание, фу!",emotion,review,disgust
доставка заняла 3 дня.,fact,review,neutral
Давай встретимся завтра.,action,chat,neutral
Это просто наглость!,emotion,review,anger
"Скинь ссылку, пожалуйста...",action,chat,neutral
регистрируйтесь и выигрывайте!,action,advertising,joy
выручка компании выросла на 15%.,fact,news,neutral
"Прекрасный подарок, спасибо!",emotion,chat,joy
Ничего себе. Как такое возможно?,emotion,chat,surprise
Тревожная ситуация складывается...,emotion,news,fear
Подпишитесь на канал.,action,advertising,neutral
я в бешенстве от такого сервиса!,emotion,review,anger
размер соответствует заявленному.,fact,review,neutral
Купите прямо сейчас со скидкой 50%!,action,advertising,neutral
Нажмите и узнайте секрет.,action,advertising,surprise
Необходимо согласовать документы...,action,business,neutral
"Ужасное обслуживание, фу!",emotion,review,disgust
Бюджет проекта — 2 миллиона рублей.,fact,business,neutral
Вот это поворот!,emotion,chat,surprise
"Ну такое себе, честно говоря.",emotion,chat,disgust
отвратительное качество!,emotion,review,disgust
Я в полном восторге от покупки!,emotion,review,joy
"По данным исследования, 80% опрошенных согласны.",fact,news,neutral
Эксперты прогнозируют рост на 10%.,fact,news,neutral
"К сожалению, не оправдало ожиданий.",emotion,review,sadness
привет! Как дела?,emotion,chat,joy
курс доллара составил 90 рублей.,fact,news,neutral
Выручка компании выросла на 15%.,fact,news,neutral
"очень жаль, что так получилось.",emotion,chat,sadness
Купите прямо сейчас со скидкой 50%.,action,advertising,neutral
Хватит издеваться над клиентами.,emotion,review,anger
"Прекрасный подарок, спасибо!",emotion,chat,joy
Регистрируйтесь и выигрывайте.,action,advertising,joy
"Скинь ссылку, пожалуйста...",action,chat,neutral
это просто восхитительно!,emotion,review,joy
Грустно видеть такое качество.,emotion,review,sadness
Лучший день в моей жизни!,emotion,chat,joy
невероятно счастлив!,emotion,chat,joy
прошу направить ответ до конца дня.,action,business,neutral
страшно представить последствия.,emotion,chat,fear
"Опасаюсь, что это не конец...",emotion,chat,fear
в комплекте идёт зарядное устройство.,fact,review,neutral
"очень жаль, что так получилось.",emotion,chat,sadness
Размер соответствует заявленному.,fact,review,neutral
в штате компании 150 сотрудников.,fact,business,neutral
Закажите и получите подарок!,action,advertising,joy
"ну такое себе, честно говоря.",emotion,chat,disgust
Подпишитесь на канал.,action,advertising,neutral
Подтвердите получение письма.,action,business,neutral
Договор заключён на 3 года...,fact,business,neutral
Купите прямо сейчас со скидкой 50%.,action,advertising,neutral
Невероятно счастлив.,emotion,chat,joy
это просто восхитительно!,emotion,review,joy
"Окей, понял тебя...",fact,chat,neutral
Это просто наглость.,emotion,review,anger
Квартальная прибыль составила 5 млн рублей...,fact,business,neutral
Фантастика! Всё работает идеально!,emotion,review,joy
скачайте приложение бесплатно!,action,advertising,joy
это просто восхитительно!,emotion,review,joy
Индекс вырос на 5 пунктов за неделю.,fact,news,neutral
Квартальная прибыль составила 5 млн рублей.,fact,business,neutral
"к сожалению, не оправдало ожиданий.",emotion,review,sadness
"Очень жаль, что так получилось.",emotion,chat,sadness
"По данным исследования, 80% опрошенных согласны.",fact,news,neutral
Хватит издеваться над клиентами.,emotion,review,anger
Количество пользователей превысило миллион.,fact,news,neutral
Получите доступ уже сегодня!,action,advertising,joy
В штате компании 150 сотрудников.,fact,business,neutral
"Прекрасный подарок, спасибо!",emotion,chat,joy
"печально, но факт.",emotion,chat,sadness
Договор заключён на 3 года...,fact,business,neutral
"Скинь ссылку, пожалуйста...",action,chat,neutral
"Прекрасный подарок, спасибо!",emotion,chat,joy
Ничего себе. Как такое возможно?,emotion,chat,surprise
Успейте купить по старой цене!,action,advertising,fear
Регистрируйтесь и выигрывайте!,action,advertising,joy
Фантастика! Всё работает идеально!,emotion,review,joy
Грустно видеть такое качество.,emotion,review,sadness
"окей, понял тебя.",fact,chat,neutral
"Очень жаль, что так получилось...",emotion,chat,sadness
Успейте купить по старой цене!,action,advertising,fear
"Боюсь, что не успеем в срок...",emotion,business,fear
договор заключён на 3 года.,fact,business,neutral
"Ну такое себе, честно говоря...",emotion,chat,disgust
Я в полном восторге от покупки!,emotion,review,joy
подпишитесь на канал!,action,advertising,neutral
Нажмите и узнайте секрет!,action,advertising,surprise
прошу направить ответ до конца дня.,action,business,neutral
Не могу поверить своим глазам.,emotion,chat,surprise
отвратительное качество!,emotion,review,disgust
"Торопитесь, осталось мало!",action,advertising,fear
грустно видеть такое качество.,emotion,review,sadness
это возмутительно!,emotion,review,anger
"Очень жаль, что так получилось.",emotion,chat,sadness
Подтвердите получение письма...,action,business,neutral
Купите прямо сейчас со скидкой 50%!,action,advertising,neutral
Страшно представить последствия.,emotion,chat,fear
Количество пользователей превысило миллион...,fact,news,neutral
Это просто наглость!,emotion,review,anger
"Опасаюсь, что это не конец...",emotion,chat,fear
страшно представить последствия.,emotion,chat,fear
Регистрируйтесь и выигрывайте.,action,advertising,joy
я в бешенстве от такого сервиса!,emotion,review,anger
Доставка заняла 3 дня.,fact,review,neutral
"Опасаюсь, что это не конец.",emotion,chat,fear
"по данным исследования, 80% опрошенных согласны.",fact,news,neutral
"Ну такое себе, честно говоря.",emotion,chat,disgust
назначьте встречу на завтра.,action,business,neutral
Давай встретимся завтра...,action,chat,neutral
Вот это поворот!,emotion,chat,surprise
Противно даже смотреть на это.,emotion,review,disgust
"Боюсь, что не успеем в срок.",emotion,business,fear
Доставка заняла 3 дня...,fact,review,neutral
квартальная прибыль составила 5 млн рублей.,fact,business,neutral
лучший день в моей жизни!,emotion,chat,joy
Получите доступ уже сегодня!,action,advertising,joy
"Очень жаль, что так получилось...",emotion,chat,sadness
Гарантия на товар — 1 год.,fact,review,neutral
квартальная прибыль составила 5 млн рублей.,fact,business,neutral
Хватит издеваться над клиентами.,emotion,review,anger
договор заключён на 3 года.,fact,business,neutral
Договор заключён на 3 года.,fact,business,neutral
Безобразие. Куда смотрит руководство?,emotion,review,anger
Хватит издеваться над клиентами!,emotion,review,anger
Шок! Этого никто не ожидал!,emotion,news,surprise
"Ужасное обслуживание, фу!",emotion,review,disgust
Обожаю эту вещь!,emotion,review,joy
размер соответствует заявленному.,fact,review,neutral
Страшно представить последствия.,emotion,chat,fear
новый закон вступает в силу с января.,fact,news,neutral
"Прекрасный подарок, спасибо.",emotion,chat,joy
Закажите и получите подарок!,action,advertising,joy
"к сожалению, не оправдало ожиданий.",emotion,review,sadness
Фантастика. Всё работает идеально.,emotion,review,joy
назначьте встречу на завтра.,action,business,neutral
гарантия на товар — 1 год.,fact,review,neutral
Отвратительное качество.,emotion,review,disgust
Получите доступ уже сегодня.,action,advertising,joy
нажмите и узнайте секрет!,action,advertising,surprise
Количество пользователей превысило миллион...,fact,news,neutral
Обожаю эту вещь!,emotion,review,joy
Супер! Очень доволен!,emotion,review,joy
бюджет проекта — 2 миллиона рублей.,fact,business,neutral
Квартальная прибыль составила 5 млн рублей.,fact,business,neutral
успейте купить по старой цене!,action,advertising,fear
Закажите и получите подарок.,action,advertising,joy
Отвратительное качество.,emotion,review,disgust
"торопитесь, осталось мало!",action,advertising,fear
"окей, понял тебя.",fact,chat,neutral
Безобразие! Куда смотрит руководство?,emotion,review,anger
Страшно представить последствия.,emotion,chat,fear
"Неожиданно, но приятно!",emotion,review,surprise
регистрируйтесь и выигрывайте!,action,advertising,joy
давай встретимся завтра.,action,chat,neutral
закажите и получите подарок!,action,advertising,joy
Отвратительное качество!,emotion,review,disgust
"Лол, это смешно.",emotion,chat,joy
Прошу направить ответ до конца дня.,action,business,neutral
никогда больше не обращусь к вам!,emotion,review,anger
"Торопитесь, осталось мало.",action,advertising,fear
"Торопитесь, осталось мало!",action,advertising,fear
Никогда больше не обращусь к вам.,emotion,review,anger
закажите и получите подарок!,action,advertising,joy
Гарантия на товар — 1 год.,fact,review,neutral
Прошу направить ответ до конца дня...,action,business,neutral
"печально, но факт.",emotion,chat,sadness
Противно даже смотреть на это...,emotion,review,disgust
давай встретимся завтра.,action,chat,neutral
Не могу поверить своим глазам.,emotion,chat,surprise
регистрируйтесь и выигрывайте!,action,advertising,joy
"Печально, но факт.",emotion,chat,sadness
просим подготовить отчёт к понедельнику.,action,business,neutral
"Окей, понял тебя.",fact,chat,neutral
вот это поворот!,emotion,chat,surprise
расстроен результатом.,emotion,review,sadness
Новый закон вступает в силу с января.,fact,news,neutral
"Печально, но факт...",emotion,chat,sadness
Квартальная прибыль составила 5 млн рублей...,fact,business,neutral
Купите прямо сейчас со скидкой 50%!,action,advertising,neutral
купите прямо сейчас со скидкой 50%!,action,advertising,neutral
Привет! Как дела?,emotion,chat,joy
Подпишитесь на канал!,action,advertising,neutral
"Окей, понял тебя...",fact,chat,neutral
"Скинь ссылку, пожалуйста.",action,chat,neutral
Вот это поворот!,emotion,chat,surprise
Шок! Этого никто не ожидал!,emotion,news,surprise
Количество пользователей превысило миллион.,fact,news,neutral
скачайте приложение бесплатно!,action,advertising,joy
прошу направить ответ до конца дня.,action,business,neutral
страшно представить последствия.,emotion,chat,fear
Это просто восхитительно!,emotion,review,joy
"Печально, но факт.",emotion,chat,sadness
"Опасаюсь, что это не конец.",emotion,chat,fear
Не могу поверить своим глазам!,emotion,chat,surprise
купите прямо сейчас со скидкой 50%!,action,advertising,neutral
"мерзость, а не продукт!",emotion,review,disgust
"К сожалению, не оправдало ожиданий...",emotion,review,sadness
"печально, но факт.",emotion,chat,sadness
Привет. Как дела?,emotion,chat,joy
Нажмите и узнайте секрет!,action,advertising,surprise
супер! Очень доволен!,emotion,review,joy
Доставка заняла 3 дня...,fact,review,neutral
Грустно видеть такое качество...,emotion,review,sadness
получите доступ уже сегодня!,action,advertising,joy
просим подготовить отчёт к понедельнику.,action,business,neutral
Не могу поверить своим глазам.,emotion,chat,surprise
Безобразие! Куда смотрит руководство?,emotion,review,anger
"Мерзость, а не продукт!",emotion,review,disgust
Выручка компании выросла на 15%...,fact,news,neutral
Грустно видеть такое качество...,emotion,review,sadness
Индекс вырос на 5 пунктов за неделю.,fact,news,neutral
Не могу поверить своим глазам!,emotion,chat,surprise
"Опасаюсь, что это не конец...",emotion,chat,fear
Страшно представить последствия...,emotion,chat,fear
Получите доступ уже сегодня!,action,advertising,joy
"Торопитесь, осталось мало!",action,advertising,fear
Новый закон вступает в силу с января...,fact,news,neutral
"Прекрасный подарок, спасибо!",emotion,chat,joy
лучший день в моей жизни!,emotion,chat,joy
подпишитесь на канал!,action,advertising,neutral
подтвердите получение письма.,action,business,neutral
Договор заключён на 3 года.,fact,business,neutral
Я в полном восторге от покупки.,emotion,review,joy
Я в бешенстве от такого сервиса!,emotion,review,anger
Срок выполнения — 14 рабочих дней...,fact,business,neutral
Купите прямо сейчас со скидкой 50%!,action,advertising,neutral
"мерзость, а не продукт!",emotion,review,disgust
Необходимо согласовать документы...,action,business,neutral
ничего себе! Как такое возможно?,emotion,chat,surprise
В комплекте идёт зарядное устройство.,fact,review,neutral
договор заключён на 3 года.,fact,business,neutral
новый закон вступает в силу с января.,fact,news,neutral
квартальная прибыль составила 5 млн рублей.,fact,business,neutral
доставка заняла 3 дня.,fact,review,neutral
бюджет проекта — 2 миллиона рублей.,fact,business,neutral
Договор заключён на 3 года...,fact,business,neutral
Лучший день в моей жизни!,emotion,chat,joy
расстроен результатом.,emotion,review,sadness
"опасаюсь, что это не конец.",emotion,chat,fear
"К сожалению, не оправдало ожиданий...",emotion,review,sadness
назначьте встречу на завтра.,action,business,neutral
хватит издеваться над клиентами!,emotion,review,anger
Подпишитесь на канал!,action,advertising,neutral
Назначьте встречу на завтра.,action,business,neutral
Спасибо за информацию!,emotion,chat,joy
"Очень жаль, что так получилось.",emotion,chat,sadness
регистрируйтесь и выигрывайте!,action,advertising,joy
"Опасаюсь, что это не конец...",emotion,chat,fear
Закажите и получите подарок!,action,advertising,joy
Лучший день в моей жизни.,emotion,chat,joy
это просто наглость!,emotion,review,anger
Тревожная ситуация складывается...,emotion,news,fear
Квартальная прибыль составила 5 млн рублей...,fact,business,neutral
Купите прямо сейчас со скидкой 50%.,action,advertising,neutral
не упустите свой шанс!,action,advertising,fear
бюджет проекта — 2 миллиона рублей.,fact,business,neutral
"очень жаль, что так получилось.",emotion,chat,sadness
"Печально, но факт...",emotion,chat,sadness
Привет. Как дела?,emotion,chat,joy
в штате компании 150 сотрудников.,fact,business,neutral
Регистрируйтесь и выигрывайте!,action,advertising,joy
"лол, это смешно!",emotion,chat,joy
лучший день в моей жизни!,emotion,chat,joy
Отвратительное качество!,emotion,review,disgust
это возмутительно!,emotion,review,anger
"Печально, но факт...",emotion,chat,sadness
В комплекте идёт зарядное устройство...,fact,review,neutral
Невероятно счастлив!,emotion,chat,joy
Это просто наглость!,emotion,review,anger
страшно представить последствия.,emotion,chat,fear
Это просто восхитительно.,emotion,review,joy
купите прямо сейчас со скидкой 50%!,action,advertising,neutral
Давай встретимся завтра...,action,chat,neutral
Расстроен результатом.,emotion,review,sadness
подпишитесь на канал!,action,advertising,neutral
Температура воздуха достигла 30 градусов...,fact,news,neutral
Температура воздуха достигла 30 градусов...,fact,news,neutral
Невероятно счастлив.,emotion,chat,joy
Купите прямо сейчас со скидкой 50%!,action,advertising,neutral
Спасибо за информацию.,emotion,chat,joy
отвратительное качество!,emotion,review,disgust
"неожиданно, но приятно!",emotion,review,surprise
Индекс вырос на 5 пунктов за неделю...,fact,news,neutral
это просто восхитительно!,emotion,review,joy
Это возмутительно.,emotion,review,anger
"печально, но факт.",emotion,chat,sadness
Супер. Очень доволен.,emotion,review,joy
Не могу поверить своим глазам!,emotion,chat,surprise
Скачайте приложение бесплатно!,action,advertising,joy
Противно даже смотреть на это.,emotion,review,disgust
прошу направить ответ до конца дня.,action,business,neutral
Температура воздуха достигла 30 градусов.,fact,news,neutral
Невероятно счастлив.,emotion,chat,joy
Вот это поворот.,emotion,chat,surprise
вот это поворот!,emotion,chat,surprise
Расстроен результатом...,emotion,review,sadness
Не упустите свой шанс.,action,advertising,fear
Тревожная ситуация складывается.,emotion,news,fear
Получите доступ уже сегодня.,action,advertising,joy
Не упустите свой шанс!,action,advertising,fear
Новый закон вступает в силу с января.,fact,news,neutral
Супер. Очень доволен.,emotion,review,joy
я в полном восторге от покупки!,emotion,review,joy
расстроен результатом.,emotion,review,sadness
Страшно представить последствия...,emotion,chat,fear
супер! Очень доволен!,emotion,review,joy
супер! Очень доволен!,emotion,review,joy
выручка компании выросла на 15%.,fact,news,neutral
Скачайте приложение бесплатно!,action,advertising,joy
Бюджет проекта — 2 миллиона рублей.,fact,business,neutral
противно даже смотреть на это.,emotion,review,disgust
"неожиданно, но приятно!",emotion,review,surprise
курс доллара составил 90 рублей.,fact,news,neutral
"Мерзость, а не продукт!",emotion,review,disgust
Привет. Как дела?,emotion,chat,joy
Не упустите свой шанс.,action,advertising,fear
Регистрируйтесь и выигрывайте.,action,advertising,joy
"Боюсь, что не успеем в срок.",emotion,business,fear
Ничего себе. Как такое возможно?,emotion,chat,surprise
квартальная прибыль составила 5 млн рублей.,fact,business,neutral
купите прямо сейчас со скидкой 50%!,action,advertising,neutral
назначьте встречу на завтра.,action,business,neutral
Я в бешенстве от такого сервиса.,emotion,review,anger
Безобразие. Куда смотрит руководство?,emotion,review,anger
Прошу направить ответ до конца дня...,action,business,neutral
Квартальная прибыль составила 5 млн рублей.,fact,business,neutral
Выручка компании выросла на 15%.,fact,news,neutral
Договор заключён на 3 года...,fact,business,neutral
это возмутительно!,emotion,review,anger
Гарантия на товар — 1 год...,fact,review,neutral
невероятно счастлив!,emotion,chat,joy
"мерзость, а не продукт!",emotion,review,disgust
Подпишитесь на канал!,action,advertising,neutral
расстроен результатом.,emotion,review,sadness
Срок выполнения — 14 рабочих дней...,fact,business,neutral
Тревожная ситуация складывается.,emotion,news,fear
Это возмутительно!,emotion,review,anger
Успейте купить по старой цене!,action,advertising,fear
Я в бешенстве от такого сервиса.,emotion,review,anger
Эксперты прогнозируют рост на 10%.,fact,news,neutral
Назначьте встречу на завтра.,action,business,neutral
"Лол, это смешно.",emotion,chat,joy
Выручка компании выросла на 15%...,fact,news,neutral
Грустно видеть такое качество.,emotion,review,sadness
"Окей, понял тебя.",fact,chat,neutral
"Неожиданно, но приятно.",emotion,review,surprise
скачайте приложение бесплатно!,action,advertising,joy
"скинь ссылку, пожалуйста.",action,chat,neutral
"Окей, понял тебя.",fact,chat,neutral
Срок выполнения — 14 рабочих дней.,fact,business,neutral
Фантастика. Всё работает идеально.,emotion,review,joy
Обожаю эту вещь.,emotion,review,joy
"торопитесь, осталось мало!",action,advertising,fear
необходимо согласовать документы.,action,business,neutral
Не упустите свой шанс!,action,advertising,fear
Не могу поверить своим глазам.,emotion,chat,surprise
Никогда больше не обращусь к вам!,emotion,review,anger
"Торопитесь, осталось мало.",action,advertising,fear
Количество пользователей превысило миллион.,fact,news,neutral
"к сожалению, не оправдало ожиданий.",emotion,review,sadness
"Неожиданно, но приятно.",emotion,review,surprise
"скинь ссылку, пожалуйста.",action,chat,neutral
Срок выполнения — 14 рабочих дней...,fact,business,neutral
выручка компании выросла на 15%.,fact,news,neutral
Подтвердите получение письма...,action,business,neutral
никогда больше не обращусь к вам!,emotion,review,anger
Индекс вырос на 5 пунктов за неделю...,fact,news,neutral
регистрируйтесь и выигрывайте!,action,advertising,joy
спасибо за информацию!,emotion,chat,joy
Индекс вырос на 5 пунктов за неделю...,fact,news,neutral
Подтвердите получение письма.,action,business,neutral
В комплекте идёт зарядное устройство...,fact,review,neutral
Индекс вырос на 5 пунктов за неделю.,fact,news,neutral
нажмите и узнайте секрет!,action,advertising,surprise
срок выполнения — 14 рабочих дней.,fact,business,neutral
невероятно счастлив!,emotion,chat,joy
Отвратительное качество.,emotion,review,disgust
прошу направить ответ до конца дня.,action,business,neutral
вот это поворот!,emotion,chat,surprise
Назначьте встречу на завтра...,action,business,neutral
спасибо за информацию!,emotion,chat,joy
Отвратительное качество.,emotion,review,disgust
Новый закон вступает в силу с января.,fact,news,neutral
это просто наглость!,emotion,review,anger
доставка заняла 3 дня.,fact,review,neutral
фантастика! Всё работает идеально!,emotion,review,joy
"К сожалению, не оправдало ожиданий...",emotion,review,sadness
противно даже смотреть на это.,emotion,review,disgust
"Ну такое себе, честно говоря...",emotion,chat,disgust
Хватит издеваться над клиентами!,emotion,review,anger
"По данным исследования, 80% опрошенных согласны.",fact,news,neutral
количество пользователей превысило миллион.,fact,news,neutral
это просто восхитительно!,emotion,review,joy
"Ну такое себе, честно говоря.",emotion,chat,disgust
это возмутительно!,emotion,review,anger
Привет! Как дела?,emotion,chat,joy
отвратительное качество!,emotion,review,disgust
Расстроен результатом.,emotion,review,sadness
"Прекрасный подарок, спасибо.",emotion,chat,joy
"Печально, но факт...",emotion,chat,sadness
я в полном восторге от покупки!,emotion,review,joy
"Лол, это смешно!",emotion,chat,joy
Ничего себе. Как такое возможно?,emotion,chat,surprise
"Печально, но факт...",emotion,chat,sadness
просим подготовить отчёт к понедельнику.,action,business,neutral
Доставка заняла 3 дня...,fact,review,neutral
"опасаюсь, что это не конец.",emotion,chat,fear
"Скинь ссылку, пожалуйста.",action,chat,neutral
Противно даже смотреть на это.,emotion,review,disgust
Невероятно счастлив.,emotion,chat,joy
Шок! Этого никто не ожидал!,emotion,news,surprise
Страшно представить последствия.,emotion,chat,fear
это просто наглость!,emotion,review,anger
Температура воздуха достигла 30 градусов...,fact,news,neutral
Шок! Этого никто не ожидал!,emotion,news,surprise
Это просто наглость!,emotion,review,anger
"Скинь ссылку, пожалуйста.",action,chat,neutral
Доставка заняла 3 дня...,fact,review,neutral
Грустно видеть такое качество.,emotion,review,sadness
Количество пользователей превысило миллион...,fact,news,neutral
Индекс вырос на 5 пунктов за неделю.,fact,news,neutral
"прекрасный подарок, спасибо!",emotion,chat,joy
"Ну такое себе, честно говоря...",emotion,chat,disgust
Регистрируйтесь и выигрывайте!,action,advertising,joy
Шок. Этого никто не ожидал.,emotion,news,surprise
Это возмутительно!,emotion,review,anger
Подтвердите получение письма...,action,business,neutral
"Опасаюсь, что это не конец.",emotion,chat,fear
Это возмутительно!,emotion,review,anger
тревожная ситуация складывается.,emotion,news,fear
я в полном восторге от покупки!,emotion,review,joy
Я в полном восторге от покупки.,emotion,review,joy
не упустите свой шанс!,action,advertising,fear
Доставка заняла 3 дня.,fact,review,neutral
"Печально, но факт.",emotion,chat,sadness
Новый закон вступает в силу с января...,fact,news,neutral
"Мерзость, а не продукт.",emotion,review,disgust
Ничего себе! Как такое возможно?,emotion,chat,surprise
Курс доллара составил 90 рублей...,fact,news,neutral
Необходимо согласовать документы...,action,business,neutral
Это просто восхитительно!,emotion,review,joy
Никогда больше не обращусь к вам.,emotion,review,anger
фантастика! Всё работает идеально!,emotion,review,joy
Это возмутительно.,emotion,review,anger
Прошу направить ответ до конца дня...,action,business,neutral
"Ну такое себе, честно говоря.",emotion,chat,disgust
Квартальная прибыль составила 5 млн рублей...,fact,business,neutral
Скачайте приложение бесплатно.,action,advertising,joy
Необходимо согласовать документы...,action,business,neutral
Обожаю эту вещь.,emotion,review,joy
это возмутительно!,emotion,review,anger
шок! Этого никто не ожидал!,emotion,news,surprise
Закажите и получите подарок!,action,advertising,joy
Обожаю эту вещь!,emotion,review,joy
Квартальная прибыль составила 5 млн рублей...,fact,business,neutral
"Окей, понял тебя.",fact,chat,neutral
не упустите свой шанс!,action,advertising,fear
обожаю эту вещь!,emotion,review,joy
Спасибо за информацию.,emotion,chat,joy
не могу поверить своим глазам!,emotion,chat,surprise
Назначьте встречу на завтра...,action,business,neutral
Срок выполнения — 14 рабочих дней.,fact,business,neutral
безобразие! Куда смотрит руководство?,emotion,review,anger
это просто наглость!,emotion,review,anger
грустно видеть такое качество.,emotion,review,sadness
хватит издеваться над клиентами!,emotion,review,anger
Выручка компании выросла на 15%.,fact,news,neutral
супер! Очень доволен!,emotion,review,joy
"Лол, это смешно.",emotion,chat,joy
Невероятно счастлив!,emotion,chat,joy
необходимо согласовать документы.,action,business,neutral
"Скинь ссылку, пожалуйста...",action,chat,neutral
Супер. Очень доволен.,emotion,review,joy
тревожная ситуация складывается.,emotion,news,fear
"прекрасный подарок, спасибо!",emotion,chat,joy
Размер соответствует заявленному...,fact,review,neutral
не могу поверить своим глазам!,emotion,chat,surprise
спасибо за информацию!,emotion,chat,joy
я в бешенстве от такого сервиса!,emotion,review,anger
"По данным исследования, 80% опрошенных согласны...",fact,news,neutral
Эксперты прогнозируют рост на 10%...,fact,news,neutral
"Прекрасный подарок, спасибо.",emotion,chat,joy
Скачайте приложение бесплатно.,action,advertising,joy
Фантастика. Всё работает идеально.,emotion,review,joy
Эксперты прогнозируют рост на 10%.,fact,news,neutral
Я в бешенстве от такого сервиса.,emotion,review,anger
Это возмутительно!,emotion,review,anger
Курс доллара составил 90 рублей.,fact,news,neutral
Закажите и получите подарок.,action,advertising,joy
"ужасное обслуживание, фу!",emotion,review,disgust
Спасибо за информацию!,emotion,chat,joy
Необходимо согласовать документы...,action,business,neutral
"Ужасное обслуживание, фу.",emotion,review,disgust
Прошу направить ответ до конца дня...,action,business,neutral
Я в полном восторге от покупки.,emotion,review,joy
Выручка компании выросла на 15%.,fact,news,neutral
Успейте купить по старой цене!,action,advertising,fear
"ужасное обслуживание, фу!",emotion,review,disgust
Спасибо за информацию!,emotion,chat,joy
Выручка компании выросла на 15%.,fact,news,neutral
Прошу направить ответ до конца дня.,action,business,neutral
эксперты прогнозируют рост на 10%.,fact,news,neutral
Закажите и получите подарок.,action,advertising,joy
"Торопитесь, осталось мало.",action,advertising,fear
Получите доступ уже сегодня!,action,advertising,joy
"неожиданно, но приятно!",emotion,review,surprise
"Ужасное обслуживание, фу!",emotion,review,disgust
невероятно счастлив!,emotion,chat,joy
"По данным исследования, 80% опрошенных согласны...",fact,news,neutral
"мерзость, а не продукт!",emotion,review,disgust
Гарантия на товар — 1 год...,fact,review,neutral
Бюджет проекта — 2 миллиона рублей...,fact,business,neutral
"Мерзость, а не продукт.",emotion,review,disgust
Это просто наглость.,emotion,review,anger
"Торопитесь, осталось мало!",action,advertising,fear
"Ужасное обслуживание, фу!",emotion,review,disgust
"Мерзость, а не продукт.",emotion,review,disgust
Квартальная прибыль составила 5 млн рублей.,fact,business,neutral
"Боюсь, что не успеем в срок...",emotion,business,fear
Температура воздуха достигла 30 градусов...,fact,news,neutral
индекс вырос на 5 пунктов за неделю.,fact,news,neutral
Курс доллара составил 90 рублей.,fact,news,neutral
Я в полном восторге от покупки!,emotion,review,joy
хватит издеваться над клиентами!,emotion,review,anger
Количество пользователей превысило миллион.,fact,news,neutral
"Печально, но факт.",emotion,chat,sadness
"Очень жаль, что так получилось...",emotion,chat,sadness
"Окей, понял тебя.",fact,chat,neutral
Эксперты прогнозируют рост на 10%...,fact,news,neutral
"очень жаль, что так получилось.",emotion,chat,sadness
Эксперты прогнозируют рост на 10%.,fact,news,neutral
Регистрируйтесь и выигрывайте!,action,advertising,joy
Ничего себе. Как такое возможно?,emotion,chat,surprise
"боюсь, что не успеем в срок.",emotion,business,fear
"Очень жаль, что так получилось...",emotion,chat,sadness
индекс вырос на 5 пунктов за неделю.,fact,news,neutral
отвратительное качество!,emotion,review,disgust
Просим подготовить отчёт к понедельнику...,action,business,neutral
лучший день в моей жизни!,emotion,chat,joy
срок выполнения — 14 рабочих дней.,fact,business,neutral
фантастика! Всё работает идеально!,emotion,review,joy
"торопитесь, осталось мало!",action,advertising,fear
размер соответствует заявленному.,fact,review,neutral
я в бешенстве от такого сервиса!,emotion,review,anger
гарантия на товар — 1 год.,fact,review,neutral
Курс доллара составил 90 рублей.,fact,news,neutral
"Ужасное обслуживание, фу.",emotion,review,disgust
"окей, понял тебя.",fact,chat,neutral
"Мерзость, а не продукт!",emotion,review,disgust
купите прямо сейчас со скидкой 50%!,action,advertising,neutral
Это возмутительно.,emotion,review,anger
Температура воздуха достигла 30 градусов...,fact,news,neutral
квартальная прибыль составила 5 млн рублей.,fact,business,neutral
нажмите и узнайте секрет!,action,advertising,surprise
"Ну такое себе, честно говоря.",emotion,chat,disgust
Это просто восхитительно.,emotion,review,joy
Эксперты прогнозируют рост на 10%...,fact,news,neutral
Квартальная прибыль составила 5 млн рублей.,fact,business,neutral
Просим подготовить отчёт к понедельнику...,action,business,neutral
